date,season,home_team,away_team,home_goals,away_goals,stage
9/19/2023,2023-24,AC Milan,Newcastle United FC,0,0,GROUP_STAGE
9/19/2023,2023-24,BSC Young Boys,RB Leipzig,1,3,GROUP_STAGE
9/19/2023,2023-24,SS Lazio,Club Atlético de Madrid,1,1,GROUP_STAGE
9/19/2023,2023-24,Feyenoord Rotterdam,Celtic FC,2,0,GROUP_STAGE
9/19/2023,2023-24,Paris Saint-Germain FC,Borussia Dortmund,2,0,GROUP_STAGE
9/19/2023,2023-24,Manchester City FC,FK Crvena Zvezda,3,1,GROUP_STAGE
9/19/2023,2023-24,FC Barcelona,Royal Antwerp FC,5,0,GROUP_STAGE
9/19/2023,2023-24,FK Shakhtar Donetsk,FC Porto,1,3,GROUP_STAGE
9/20/2023,2023-24,Real Madrid CF,1. FC Union Berlin,1,0,GROUP_STAGE
9/20/2023,2023-24,Galatasaray SK,FC København,2,2,GROUP_STAGE
9/20/2023,2023-24,Sevilla FC,Racing Club de Lens,1,1,GROUP_STAGE
9/20/2023,2023-24,Sporting Clube de Braga,SSC Napoli,1,2,GROUP_STAGE
9/20/2023,2023-24,Real Sociedad de Fútbol,FC Internazionale Milano,1,1,GROUP_STAGE
9/20/2023,2023-24,Sport Lisboa e Benfica,FC Red Bull Salzburg,0,2,GROUP_STAGE
9/20/2023,2023-24,FC Bayern München,Manchester United FC,4,3,GROUP_STAGE
9/20/2023,2023-24,Arsenal FC,PSV,4,0,GROUP_STAGE
10/3/2023,2023-24,1. FC Union Berlin,Sporting Clube de Braga,2,3,GROUP_STAGE
10/3/2023,2023-24,FC Red Bull Salzburg,Real Sociedad de Fútbol,0,2,GROUP_STAGE
10/3/2023,2023-24,SSC Napoli,Real Madrid CF,2,3,GROUP_STAGE
10/3/2023,2023-24,FC Internazionale Milano,Sport Lisboa e Benfica,1,0,GROUP_STAGE
10/3/2023,2023-24,FC København,FC Bayern München,1,2,GROUP_STAGE
10/3/2023,2023-24,Manchester United FC,Galatasaray SK,2,3,GROUP_STAGE
10/3/2023,2023-24,Racing Club de Lens,Arsenal FC,2,1,GROUP_STAGE
10/3/2023,2023-24,PSV,Sevilla FC,2,2,GROUP_STAGE
10/4/2023,2023-24,Club Atlético de Madrid,Feyenoord Rotterdam,3,2,GROUP_STAGE
10/4/2023,2023-24,Royal Antwerp FC,FK Shakhtar Donetsk,2,3,GROUP_STAGE
10/4/2023,2023-24,Celtic FC,SS Lazio,1,2,GROUP_STAGE
10/4/2023,2023-24,Borussia Dortmund,AC Milan,0,0,GROUP_STAGE
10/4/2023,2023-24,Newcastle United FC,Paris Saint-Germain FC,4,1,GROUP_STAGE
10/4/2023,2023-24,FK Crvena Zvezda,BSC Young Boys,2,2,GROUP_STAGE
10/4/2023,2023-24,RB Leipzig,Manchester City FC,1,3,GROUP_STAGE
10/4/2023,2023-24,FC Porto,FC Barcelona,0,1,GROUP_STAGE
10/24/2023,2023-24,FC Internazionale Milano,FC Red Bull Salzburg,2,1,GROUP_STAGE
10/24/2023,2023-24,Galatasaray SK,FC Bayern München,1,3,GROUP_STAGE
10/24/2023,2023-24,1. FC Union Berlin,SSC Napoli,0,1,GROUP_STAGE
10/24/2023,2023-24,Sporting Clube de Braga,Real Madrid CF,1,2,GROUP_STAGE
10/24/2023,2023-24,Sport Lisboa e Benfica,Real Sociedad de Fútbol,0,1,GROUP_STAGE
10/24/2023,2023-24,Manchester United FC,FC København,1,0,GROUP_STAGE
10/24/2023,2023-24,Sevilla FC,Arsenal FC,1,2,GROUP_STAGE
10/24/2023,2023-24,Racing Club de Lens,PSV,1,1,GROUP_STAGE
10/25/2023,2023-24,Feyenoord Rotterdam,SS Lazio,3,1,GROUP_STAGE
10/25/2023,2023-24,FC Barcelona,FK Shakhtar Donetsk,2,1,GROUP_STAGE
10/25/2023,2023-24,Celtic FC,Club Atlético de Madrid,2,2,GROUP_STAGE
10/25/2023,2023-24,Paris Saint-Germain FC,AC Milan,3,0,GROUP_STAGE
10/25/2023,2023-24,Newcastle United FC,Borussia Dortmund,0,1,GROUP_STAGE
10/25/2023,2023-24,BSC Young Boys,Manchester City FC,1,3,GROUP_STAGE
10/25/2023,2023-24,RB Leipzig,FK Crvena Zvezda,3,1,GROUP_STAGE
10/25/2023,2023-24,Royal Antwerp FC,FC Porto,1,4,GROUP_STAGE
11/7/2023,2023-24,Borussia Dortmund,Newcastle United FC,2,0,GROUP_STAGE
11/7/2023,2023-24,FK Shakhtar Donetsk,FC Barcelona,1,0,GROUP_STAGE
11/7/2023,2023-24,Club Atlético de Madrid,Celtic FC,6,0,GROUP_STAGE
11/7/2023,2023-24,SS Lazio,Feyenoord Rotterdam,1,0,GROUP_STAGE
11/7/2023,2023-24,AC Milan,Paris Saint-Germain FC,2,1,GROUP_STAGE
11/7/2023,2023-24,Manchester City FC,BSC Young Boys,3,0,GROUP_STAGE
11/7/2023,2023-24,FK Crvena Zvezda,RB Leipzig,1,2,GROUP_STAGE
11/7/2023,2023-24,FC Porto,Royal Antwerp FC,2,0,GROUP_STAGE
11/8/2023,2023-24,SSC Napoli,1. FC Union Berlin,1,1,GROUP_STAGE
11/8/2023,2023-24,Real Sociedad de Fútbol,Sport Lisboa e Benfica,3,1,GROUP_STAGE
11/8/2023,2023-24,Real Madrid CF,Sporting Clube de Braga,3,0,GROUP_STAGE
11/8/2023,2023-24,FC Red Bull Salzburg,FC Internazionale Milano,0,1,GROUP_STAGE
11/8/2023,2023-24,FC Bayern München,Galatasaray SK,2,1,GROUP_STAGE
11/8/2023,2023-24,FC København,Manchester United FC,4,3,GROUP_STAGE
11/8/2023,2023-24,Arsenal FC,Sevilla FC,2,0,GROUP_STAGE
11/8/2023,2023-24,PSV,Racing Club de Lens,1,0,GROUP_STAGE
11/28/2023,2023-24,SS Lazio,Celtic FC,2,0,GROUP_STAGE
11/28/2023,2023-24,FK Shakhtar Donetsk,Royal Antwerp FC,1,0,GROUP_STAGE
11/28/2023,2023-24,Feyenoord Rotterdam,Club Atlético de Madrid,1,3,GROUP_STAGE
11/28/2023,2023-24,AC Milan,Borussia Dortmund,1,3,GROUP_STAGE
11/28/2023,2023-24,Paris Saint-Germain FC,Newcastle United FC,1,1,GROUP_STAGE
11/28/2023,2023-24,BSC Young Boys,FK Crvena Zvezda,2,0,GROUP_STAGE
11/28/2023,2023-24,Manchester City FC,RB Leipzig,3,2,GROUP_STAGE
11/28/2023,2023-24,FC Barcelona,FC Porto,2,1,GROUP_STAGE
11/29/2023,2023-24,Galatasaray SK,Manchester United FC,3,3,GROUP_STAGE
11/29/2023,2023-24,Sevilla FC,PSV,2,3,GROUP_STAGE
11/29/2023,2023-24,Sporting Clube de Braga,1. FC Union Berlin,1,1,GROUP_STAGE
11/29/2023,2023-24,Real Madrid CF,SSC Napoli,4,2,GROUP_STAGE
11/29/2023,2023-24,Sport Lisboa e Benfica,FC Internazionale Milano,3,3,GROUP_STAGE
11/29/2023,2023-24,Real Sociedad de Fútbol,FC Red Bull Salzburg,0,0,GROUP_STAGE
11/29/2023,2023-24,FC Bayern München,FC København,0,0,GROUP_STAGE
11/29/2023,2023-24,Arsenal FC,Racing Club de Lens,6,0,GROUP_STAGE
12/12/2023,2023-24,PSV,Arsenal FC,1,1,GROUP_STAGE
12/12/2023,2023-24,Racing Club de Lens,Sevilla FC,2,1,GROUP_STAGE
12/12/2023,2023-24,1. FC Union Berlin,Real Madrid CF,2,3,GROUP_STAGE
12/12/2023,2023-24,SSC Napoli,Sporting Clube de Braga,2,0,GROUP_STAGE
12/12/2023,2023-24,FC Internazionale Milano,Real Sociedad de Fútbol,0,0,GROUP_STAGE
12/12/2023,2023-24,FC Red Bull Salzburg,Sport Lisboa e Benfica,1,3,GROUP_STAGE
12/12/2023,2023-24,Manchester United FC,FC Bayern München,0,1,GROUP_STAGE
12/12/2023,2023-24,FC København,Galatasaray SK,1,0,GROUP_STAGE
12/13/2023,2023-24,RB Leipzig,BSC Young Boys,2,1,GROUP_STAGE
12/13/2023,2023-24,FK Crvena Zvezda,Manchester City FC,2,3,GROUP_STAGE
12/13/2023,2023-24,Club Atlético de Madrid,SS Lazio,2,0,GROUP_STAGE
12/13/2023,2023-24,Celtic FC,Feyenoord Rotterdam,2,1,GROUP_STAGE
12/13/2023,2023-24,Newcastle United FC,AC Milan,1,2,GROUP_STAGE
12/13/2023,2023-24,Borussia Dortmund,Paris Saint-Germain FC,1,1,GROUP_STAGE
12/13/2023,2023-24,Royal Antwerp FC,FC Barcelona,3,2,GROUP_STAGE
12/13/2023,2023-24,FC Porto,FK Shakhtar Donetsk,5,3,GROUP_STAGE
2/13/2024,2023-24,FC København,Manchester City FC,1,3,LAST_16
2/13/2024,2023-24,RB Leipzig,Real Madrid CF,0,1,LAST_16
2/14/2024,2023-24,Paris Saint-Germain FC,Real Sociedad de Fútbol,2,0,LAST_16
2/14/2024,2023-24,SS Lazio,FC Bayern München,1,0,LAST_16
